,COD_ID,DIST,SUB_GRP,ENE_01,ENE_02,ENE_03,ENE_04,ENE_05,ENE_06,ENE_07,ENE_08,ENE_09,ENE_10,ENE_11,ENE_12,DESCR
0,1,401,A4,8.225,7.869,7.698,7.309,7.202,7.749,7.983,7.772,7.587,7.366,7.443,7.76, 
1,2,401,B,32.901,31.479,30.791,29.234,28.809,30.995,31.93,31.089,30.346,29.464,29.77,31.04, 
