,COD_ID,NOME,BARR,SUB,PAC_INI,TEN_NOM,TEN_OPE,ATIP,RECONFIG,DIST,UNI_TR_AT,ENE_01,ENE_02,ENE_03,ENE_04,ENE_05,ENE_06,ENE_07,ENE_08,ENE_09,ENE_10,ENE_11,ENE_12,PERD_A3a,PERD_A4,PERD_B,PERD_MED,PERD_A3a_B,PERD_A4_B,PERD_B_A3a,PERD_B_A4,PNTMT_01,PNTMT_02,PNTMT_03,PNTMT_04,PNTMT_05,PNTMT_06,PNTMT_07,PNTMT_08,PNTMT_09,PNTMT_10,PNTMT_11,PNTMT_12,PNTBT_01,PNTBT_02,PNTBT_03,PNTBT_04,PNTBT_05,PNTBT_06,PNTBT_07,PNTBT_08,PNTBT_09,PNTBT_10,PNTBT_11,PNTBT_12,DESCR,PERD_A3aA4,PERD_A4A3a
0,1_TAP2_1,TJB15,TAP2_1,TAP2,1_TAP2_1,49,1.05,0,1,401,1_TAP2_2,3359020.0,3018710.0,3435770.0,2993240.0,3220020.0,3429780.0,3557090.0,3266240.0,3062520.0,3181880.0,3233060.0,3221920.0,0.0,1485071.13,170569.35,60939.71,0.0,652579.01,0.0,0.0,5190.35,4995.55,4798.72,4649.86,4499.3,4901.97,5101.09,4959.72,4753.07,4611.23,4665.1,4947.17,20762.03,19984.12,19194.26,18598.15,17997.82,19607.26,20403.07,19839.52,19011.05,18444.9,18659.14,19788.66, ,0.0,0.0
1,2_TAP2_1,TJB16,TAP2_1,TAP2,2_TAP2_1,49,1.05,1,1,401,1_TAP2_2,3478210.0,2770920.0,3297440.0,3063770.0,3053870.0,2721610.0,2883550.0,3080230.0,2781370.0,2759640.0,3109770.0,3435210.0,0.0,1688735.87,100229.65,35809.29,0.0,496554.99,0.0,0.0,3034.65,2873.45,2899.28,2659.14,2702.7,2847.03,2881.91,2812.28,2833.93,2754.77,2777.9,2812.83,12138.97,11494.88,11596.74,10635.85,10811.18,11387.74,11526.93,11249.48,11334.95,11019.1,11110.86,11251.34, ,0.0,0.0
