Year; LDCurve; Hour; Meter;" ""kWh""";" ""kvarh""";" ""Max kW""";" ""Max kVA""";" ""Zone kWh""";" ""Zone kvarh""";" ""Zone Max kW""";" ""Zone Max kVA""";" ""Overload kWh Normal""";" ""Overload kWh Emerg""";" ""Load EEN""";" ""Load UE""";" ""Zone Losses kWh""";" ""Zone Losses kvarh""";" ""Zone Max kW Losses""";" ""Zone Max kvar Losses""";" ""Load Losses kWh""";" ""Load Losses kvarh""";" ""No Load Losses kWh""";" ""No Load Losses kvarh""";" ""Max kW Load Losses""";" ""Max kW No Load Losses""";" ""Line Losses""";" ""Transformer Losses""";" ""Line Mode Line Losses""";" ""Zero Mode Line Losses""";" ""3-phase Line Losses""";" ""1- and 2-phase Line Losses""";" ""Gen kWh""";" ""Gen kvarh""";" ""Gen Max kW""";" ""Gen Max kVA""";" ""23.1 kV Losses""";" ""0.38 kV Losses""";" ""Aux1""";" ""Aux6""";" ""Aux11""";" ""Aux16""";" ""Aux21""";" ""23.1 kV Line Loss""";" ""0.38 kV Line Loss""";" ""Aux2""";" ""Aux7""";" ""Aux12""";" ""Aux17""";" ""Aux22""";" ""23.1 kV Load Loss""";" ""0.38 kV Load Loss""";" ""Aux3""";" ""Aux8""";" ""Aux13""";" ""Aux18""";" ""Aux23""";" ""23.1 kV No Load Loss""";" ""0.38 kV No Load Loss""";" ""Aux4""";" ""Aux9""";" ""Aux14""";" ""Aux19""";" ""Aux24""";" ""23.1 kV Load Energy""";" ""0.38 kV Load Energy""";" ""Aux5""";" ""Aux10""";" ""Aux15""";" ""Aux20""";" ""Aux25"""
0; ;24;" ""BUSA4-_202212598_SEGMMT_36960""";3532;632;163;166;3187;1342;148;161;0;0;3651;3242;345;-710;15;30;26;-710;319;0;1;13;16;330;9;0;9;6;0;0;0;0;335;10;0;0;0;0;0;5;10;0;0;0;0;0;11;0;0;0;0;0;0;319;0;0;0;0;0;0;59;3128;0;0;0;0;0
0; ;24;" ""BUSA4-_202212598_SEGMMT_36960""";3814;739;180;184;3472;1441;165;179;0;0;25;0;342;-702;15;30;30;-702;311;0;2;13;18;324;11;0;11;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
